°ce	0.276243093922652
°explique	0.276243093922652
°sur	0.276243093922652
00	0.552486187845304
1000	0.828729281767956
100b	0.276243093922652
101	0.276243093922652
1015	0.276243093922652
1024	0.276243093922652
105	0.552486187845304
106	0.552486187845304
109	0.276243093922652
10ème	0.552486187845304
110	0.276243093922652
111	0.552486187845304
115	0.552486187845304
1160	0.276243093922652
117	0.276243093922652
11ème	0.276243093922652
120	0.552486187845304
125	0.552486187845304
126	0.276243093922652
128	0.552486187845304
1280	0.276243093922652
12ème	0.552486187845304
12mois	0.276243093922652
130	0.276243093922652
136	0.276243093922652
13ème	0.276243093922652
140	0.828729281767956
141	0.276243093922652
142	0.276243093922652
145	0.276243093922652
1466	0.276243093922652
14ème	0.276243093922652
154	0.276243093922652
15ème	0.276243093922652
1600	0.552486187845304
167	0.276243093922652
16ème	0.276243093922652
170	0.276243093922652
173	0.276243093922652
178	0.276243093922652
1780	0.552486187845304
17ème	0.276243093922652
180	0.276243093922652
1809	0.276243093922652
1859	0.276243093922652
1901	0.276243093922652
1925	0.276243093922652
1940	0.276243093922652
1946	0.276243093922652
1950	0.552486187845304
1953	0.276243093922652
1954	0.276243093922652
1959	0.552486187845304
1960	0.276243093922652
1961	0.276243093922652
1963	0.276243093922652
1969	0.276243093922652
1970	0.552486187845304
1973	0.276243093922652
1978	0.276243093922652
1979	0.552486187845304
1981	0.276243093922652
1982	0.552486187845304
1983	0.276243093922652
1985	0.276243093922652
1987	0.276243093922652
1989	0.276243093922652
1991	0.552486187845304
1993	0.828729281767956
1995	0.552486187845304
1996	0.552486187845304
1997	0.276243093922652
1a	0.552486187845304
1b	0.552486187845304
200m2	0.276243093922652
2017	0.276243093922652
2023	0.276243093922652
2025	0.276243093922652
2035	0.276243093922652
2040	0.828729281767956
2060	0.276243093922652
210	0.276243093922652
2100	0.276243093922652
211	0.276243093922652
212	0.276243093922652
215	0.276243093922652
21ème	0.552486187845304
220	0.828729281767956
221	0.276243093922652
230	0.552486187845304
250	0.552486187845304
254	0.276243093922652
25ème	0.552486187845304
260	0.552486187845304
2600	0.276243093922652
262	0.276243093922652
268	0.276243093922652
270	0.276243093922652
276	0.276243093922652
280	0.828729281767956
289	0.276243093922652
290	0.276243093922652
292	0.552486187845304
2d	0.828729281767956
2è	0.276243093922652
2kg	0.276243093922652
3000	0.276243093922652
31	0.828729281767956
312	0.276243093922652
314	0.552486187845304
32	0.276243093922652
33	0.276243093922652
33ème	0.276243093922652
33èmes	0.276243093922652
34	0.276243093922652
352	0.276243093922652
38	0.276243093922652
3bcar	0.276243093922652
3c	0.276243093922652
3e	0.276243093922652
410	0.276243093922652
41ème	0.276243093922652
43	0.552486187845304
449	0.276243093922652
45	0.552486187845304
450	0.276243093922652
46	0.276243093922652
47	0.552486187845304
48	0.828729281767956
4i	0.552486187845304
5000	0.276243093922652
50ème	0.276243093922652
52	0.828729281767956
53	0.552486187845304
545	0.276243093922652
55	0.276243093922652
559	0.276243093922652
56	0.552486187845304
560	0.276243093922652
576	0.276243093922652
58	0.552486187845304
606	0.276243093922652
61	0.276243093922652
620	0.276243093922652
631	0.276243093922652
64	0.276243093922652
650	0.276243093922652
65ème	0.276243093922652
69	0.552486187845304
